Participante,VLT,Perfil,Frase,Condicao,Escolha,RT_Alvo
E3304,0,Bilingue,3,ThirdPSing,2,
E3304,0,Bilingue,4,ThirdPSing,2,
E3304,0,Bilingue,5,ThirdPSing,2,
E3304,0,Bilingue,6,ThirdPSing,2,
E3304,0,Bilingue,7,ThirdPSing,1,1223
E3304,0,Bilingue,8,ThirdPSing,2,
E3305,0,Bilingue,1,ThirdPSing,1,1572
E3305,0,Bilingue,2,ThirdPSing,2,
E3305,0,Bilingue,3,ThirdPSing,1,1940
E3305,0,Bilingue,4,ThirdPSing,1,2805
E3305,0,Bilingue,5,ThirdPSing,2,
E3305,0,Bilingue,6,ThirdPSing,1,3471
E3305,0,Bilingue,7,ThirdPSing,2,
E3305,0,Bilingue,8,ThirdPSing,2,
E3306,0,Bilingue,1,ThirdPSing,1,1247
E3306,0,Bilingue,2,ThirdPSing,2,
E3306,0,Bilingue,3,ThirdPSing,1,1295
E3306,0,Bilingue,4,ThirdPSing,1,1129
E3306,0,Bilingue,5,ThirdPSing,2,
E3306,0,Bilingue,6,ThirdPSing,2,
E3306,0,Bilingue,7,ThirdPSing,1,1512
E3306,0,Bilingue,8,ThirdPSing,2,
E3307,0,Bilingue,1,ThirdPSing,2,
E3307,0,Bilingue,2,ThirdPSing,2,
E3307,0,Bilingue,3,ThirdPSing,2,
E3307,0,Bilingue,4,ThirdPSing,2,
E3307,0,Bilingue,5,ThirdPSing,2,
E3307,0,Bilingue,6,ThirdPSing,1,3583
E3307,0,Bilingue,7,ThirdPSing,2,
E3307,0,Bilingue,8,ThirdPSing,2,
E3308,0,Bilingue,1,ThirdPSing,1,1251
E3308,0,Bilingue,2,ThirdPSing,1,2017
E3308,0,Bilingue,3,ThirdPSing,2,
E3308,0,Bilingue,4,ThirdPSing,1,1032
E3308,0,Bilingue,5,ThirdPSing,2,
E3308,0,Bilingue,6,ThirdPSing,2,
E3308,0,Bilingue,7,ThirdPSing,1,1732
E3308,0,Bilingue,8,ThirdPSing,1,1452
E3309,0,Bilingue,1,ThirdPSing,2,
E3309,0,Bilingue,2,ThirdPSing,2,
